Scenario,Country,Energy_carrier,Sector,Region,Name_Region,Subsector,Application,Technologie,latitude,longitude,Unit,2021,2025,2030,2035,2040,2045,2050,index_right0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA45,Lippe,Lime ,CO2 capture,,51.985916,8.807548,CO2-Abscheidung [Mt/a],0.02162537428060956,0.01681973555158521,0.020183682661902253,0.01681973555158521,0.015378043932877908,0.01441691618707304,0.01441691618707304,489.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA1B,Kleve,Lime ,CO2 capture,,51.729121,6.359061,CO2-Abscheidung [Mt/a],0.021348077350216096,0.016604060161279185,0.019924872193535025,0.016604060161279185,0.015180855004598114,0.01423205156681073,0.01423205156681073,436.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEE0C,Salzlandkreis,Lime ,CO2 capture,,51.698058,11.757585,CO2-Abscheidung [Mt/a],0.05205184999786434,0.04048477222056115,0.048581726664673384,0.04048477222056115,0.037014648887370195,0.03470123333190955,0.03470123333190955,608.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Lime ,CO2 capture,,51.597331,8.341176,CO2-Abscheidung [Mt/a],0.05763706428194745,0.04482882777484802,0.053794593329817626,0.04482882777484802,0.040986356822718194,0.038424709521298304,0.038424709521298304,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE40C,Oder-Spree,Lime ,CO2 capture,,52.16949,14.626637,CO2-Abscheidung [Mt/a],0.07241708485565954,0.05632439933217964,0.06758927919861557,0.05632439933217964,0.05149659367513568,0.048278056570439695,0.048278056570439695,335.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEG0L,Greiz,Lime ,CO2 capture,,50.944514,11.988065,CO2-Abscheidung [Mt/a],0.0329363441051659,0.025617156526240147,0.03074058783148818,0.025617156526240147,0.023421400252562424,0.02195756273677727,0.02195756273677727,537.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE80N,Vorpommern-Greifswald,Lime ,CO2 capture,,53.853903,13.708684,CO2-Abscheidung [Mt/a],0.039175998055068516,0.030470220709497738,0.036564264851397285,0.030470220709497738,0.027858487505826503,0.026117332036712345,0.026117332036712345,485.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA44,Höxter,Lime ,CO2 capture,,51.491359,9.165684,CO2-Abscheidung [Mt/a],0.01613432738294385,0.012548921297845217,0.01505870555741426,0.012548921297845217,0.011473299472315627,0.0107562182552959,0.0107562182552959,448.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE735,Schwalm-Eder-Kreis,Lime ,CO2 capture,,51.10218,9.360121,CO2-Abscheidung [Mt/a],0.019918058069751582,0.015491822943140119,0.01859018753176814,0.015491822943140119,0.01416395240515668,0.013278705379834388,0.013278705379834388,573.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE118,"Heilbronn, Landkreis",Lime ,CO2 capture,,49.243552,9.180513,CO2-Abscheidung [Mt/a],0.03635949416123817,0.02827960656985191,0.03393552788382229,0.02827960656985191,0.025855640292436033,0.02423966277415878,0.02423966277415878,570.0
